uniqueID,IDALL,Supp_services_average_percent_transf,Supp_services_average,Impact of intensification on: ES supporting Soil formation/flood prevention,Impact of intensification on: ES Supporting Nutrient cycling,"Impact of intensification on: 
 ES supporting Primary production (e.g. total biomass)",Econ_wellbeing_average,"Impact of intensification on: 
 Income Gain/Net Benefits proportion",Impact of intensification on: Income Security/Avoiding Risk of Financial Loss,Savings in Costs of Labour,"Impact of intensification on: material assets/physical capital (Shelter, energy (electricity), cooking fuel, sanitation facilities, market infrastructure)","Combined 
 ecological-social outcome"
7,9,87.836705,1.87836705,NA,1.5882353,2.1684988,2.76,2.76,NA,,NA,Win-Win
10,14,83.3,1.833,NA,1.833,NA,1.992,1.992,NA,,NA,Win-Win
13,19,-1.006945,0.98993055,NA,1.0173611,0.9625,1.06,1.06,NA,,NA,Win-Win
23,50,16.66667,1.1666667,NA,1.1666667,NA,1.668202555,1.668202555,NA,,NA,Win-Win
24,50,19.49405,1.1949405,NA,1.1949405,NA,3.031706204,3.031706204,NA,,NA,Win-Win
25,50,30,1.3,NA,1.3,NA,1.322730924,1.322730924,NA,,NA,Win-Win
26,50,33.39286,1.3339286,NA,1.3339286,NA,2.283148594,2.283148594,NA,,NA,Win-Win
27,56,8.25838,1.0825838,Neutral,1.0825838,NA,1.802556818,1.802556818,NA,,NA,Mix-Win
28,59,4.8,1.048,1.048,NA,NA,2.042411642,2.042411642,NA,,Mixed,Mix-Mix
29,61,15.90909,1.1590909,NA,1.1590909,NA,1.216637782,1.216637782,NA,,NA,Win-Win
34,72,8,1.08,NA,1.08,NA,1.499866365,1.499866365,NA,,NA,Win-Win
35,72,4,1.04,NA,1.04,NA,1.22135074,1.22135074,NA,,NA,Win-Win
36,74,9.8934,1.098934,NA,NA,1.098934,1.3765,1.3765,Positive,,NA,Win-Win
42,99,6.37037,1.0637037,NA,1.0637037,NA,1.287423155,1.287423155,NA,,Negative,Win-Mix
43,99,9.77778,1.0977778,NA,1.0977778,NA,1.063626177,1.063626177,NA,,Negative,Mix-Mix
46,104,0.75416,1.0075416,NA,NA,1.0075416,1.226105005,1.315287836,NA,,1.136922175,Win-Mix
55,128,131.30699,2.3130699,NA,2.8404255,1.7857143,4.321428571,4.321428571,NA,,NA,Win-Win
56,128,100.151975,2.00151975,NA,2.5744681,1.4285714,5.227678571,5.227678571,NA,,NA,Win-Win
67,179,27.335985,1.27335985,1.52,1.0267197,NA,1.504920202,1.504920202,NA,,NA,Win-Win
69,195,10.969775,1.10969775,NA,1.1493955,1.07,2.428571429,2.428571429,Positive,,Positive,Win-Win
70,195,13.189285,1.13189285,NA,1.1637857,1.1,2.416666667,2.416666667,Neutral,,Positive,Win-Mix
71,195,2.876387936,1.028763879,NA,1.029360967,1.028166792,1.666666667,1.666666667,Positive,,Positive,Win-Win
72,195,4.362007782,1.043620078,NA,1.049697494,1.037542662,1.333333333,1.333333333,Neutral,,Positive,Win-Mix
83,214,0.99134,1.0099134,NA,1.009617,1.0102098,1.143614734,1.143614734,NA,,NA,Win-Win
84,217,0.606945298,1.006069453,NA,1.012138906,1,1.215273733,1.215273733,NA,,NA,Mix-Win
89,251,32.783085,1.32783085,1.051495,1.6041667,NA,3.0375,3.0375,NA,,Negative,Mix-Mix
90,251,7.277825,1.07277825,1.0830565,1.0625,NA,1.275,1.275,NA,,Negative,Mix-Mix
91,251,12.781005,1.12781005,1.0472868,1.2083333,NA,0.675,0.675,NA,,Negative,Mix-Mix
92,251,26.041665,1.26041665,1,1.5208333,NA,0.4125,0.4125,NA,,Negative,Mix-Mix
102,259,12.89398,1.1289398,NA,1.1289398,NA,1.376452363,1.376452363,NA,,NA,Win-Win
103,259,7.73639,1.0773639,NA,1.0773639,NA,1.43609605,1.43609605,NA,,NA,Win-Win
107,272,22.848625,1.22848625,1.2229299,1.2340426,NA,2,2,NA,,NA,Win-Win
126,309,183.3333333,2.833333333,NA,NA,2.833333333,6.232226264,11.42862191,NA,1.035830619,Negative,Win-Mix
127,319,21,1.21,NA,NA,1.21,1,1,NA,,NA,Win-Mix
128,320,21.32959025,1.213295903,NA,1.213295903,NA,1.122229439,1.122229439,NA,,Negative,Win-Mix
130,329,38.39285714,1.383928571,NA,1.487857143,1.28,3.22,3.22,NA,,Negative,Win-Mix
131,329,32.17142857,1.321714286,NA,1.333428571,1.31,3.25,3.25,NA,,Negative,Win-Mix
132,329,16.25857143,1.162585714,NA,1.175171429,1.15,2.08,2.08,NA,,Negative,Win-Mix
133,329,24.27857143,1.242785714,NA,1.325571429,1.16,2.54,2.54,NA,,Negative,Win-Mix
134,329,14.76428571,1.147642857,NA,1.065285714,1.23,2.54,2.54,NA,,Negative,Win-Mix
135,337,-6.462924287,0.935370757,NA,0.935370757,NA,1.048662463,1.048662463,Positive,Negative,NA,Mix-Mix
136,338,26.325,1.26325,NA,NA,1.26325,1.23,1.23,NA,,NA,Win-Win
139,356,21,1.21,NA,1.21,NA,1.34,1.34,Positive,,Mixed,Win-Mix
140,356,24,1.24,NA,1.24,NA,1.17,1.17,Positive,,Mixed,Win-Mix
142,366,15.626615,1.15626615,NA,1.0352397,1.2772926,1.598185242,1.598185242,NA,,Negative,Mix-Mix
143,366,42.433315,1.42433315,NA,0.938186,1.9104803,1.213319637,1.213319637,NA,,Negative ,Mix-Mix
144,367,-6.94073,0.9305927,NA,NA,0.9305927,2.193680249,2.193680249,NA,,NA,Mix-Win
145,367,-17.4346,0.825654,NA,NA,0.825654,2.170420393,2.170420393,NA,,NA,Mix-Win
146,367,-22.06727,0.7793273,NA,NA,0.7793273,2.616705962,2.616705962,NA,,NA,Mix-Win
149,388,2.738712065,1.027387121,NA,1.027387121,NA,1.029179219,1.218380993,NA,,0.839977446,Win-Mix
150,388,-8.58623242,0.914137676,NA,0.914137676,NA,0.903020212,1.013088633,NA,,0.79295179,Mix-Mix
156,406,8.176525061,1.081765251,1.003530501,1.16,NA,1.564984489,2.419783006,NA,0.710185972,NA,Win-Mix
157,407,139.725261,2.39725261,NA,2.39725261,NA,2.499521085,2.499521085,Positive,,NA,Win-Win
158,407,21.36446156,1.213644616,NA,1.213644616,NA,1.37118624,1.37118624,Negative,,NA,Mix-Mix
159,407,97.15539353,1.971553935,NA,1.971553935,NA,2.224496181,2.224496181,Positive,,NA,Win-Win
161,410,283.664005,3.83664005,NA,6.7083333,0.9649468,1.0390625,1.0390625,NA,,NA,Mix-Win
162,410,475.752215,5.75752215,NA,10.541667,0.9733773,1.046875,1.046875,NA,,NA,Mix-Win
163,410,208.52138,3.0852138,NA,5.2083333,0.9620943,1.03125,1.03125,NA,,NA,Mix-Win
164,412,9.76361791,1.097636179,NA,1.097636179,NA,1.112920111,1.016102395,NA,1.209737828,NA,Win-Mix
166,418,4.444444444,1.044444444,NA,1.044444444,NA,1.051282051,NA,1.051282051,,NA,Win-Win
167,418,-6.111111111,0.938888889,NA,0.938888889,NA,0.897435897,NA,0.897435897,,NA,Mix-Mix
168,418,1.324503311,1.013245033,NA,1.013245033,NA,1.108695652,NA,1.108695652,,NA,Win-Win
175,422,11.76403482,1.117640348,1.267367883,NA,0.967912814,0.951675687,1.141446613,NA,0.761904762,NA,Mix-Mix
176,422,0.425810896,1.004258109,0.755926521,NA,1.252589697,0.846196352,0.930487943,NA,0.761904762,NA,Mix-Lose
177,423,30,1.3,NA,NA,1.3,0.978328358,1.118443316,NA,0.8382134,Positive ,Mix-Mix
178,423,11.92999754,1.119299975,NA,NA,1.1193,0.978328358,1.118443316,NA,0.8382134,Positive,Mix-Mix
179,425,0,1,NA,NA,1,0.683333333,0.683333333,Negative,,NA,Mix-Lose
201,436,80.625,1.80625,NA,1.80625,NA,1.030434783,1.030434783,NA,Mixed,Mixed,Win-Mix
202,441,51.785715,1.51785715,NA,1.2857143,1.75,1.583024063,1.583024063,NA,,NA,Win-Win
203,441,12.5,1.125,NA,1,1.25,1.254639052,1.254639052,NA,,NA,Mix-Win
204,444,43.33333333,1.433333333,NA,NA,1.433333333,0.593155894,0.593155894,NA,,NA,Mix-Lose
205,444,45,1.45,NA,NA,1.45,3.152091255,3.152091255,NA,,NA,Win-Win
210,453,3.1906,1.031906,NA,NA,1.031906,1.111948302,1.132454004,NA,1.0914426,Positive,Win-Win
211,461,11.4537,1.114537,1.114537,,NA,1.194058612,NA,NA,1.342442224,1.045675,Win-Win
212,461,50.2643,1.502643,1.502643,,NA,1.182457651,NA,NA,1.364915303,1,Win-Mix
213,461,11.4094,1.114094,1.114094,,NA,1.089534211,NA,NA,1.258714423,0.920354,Win-Mix
214,461,50.2384,1.502384,1.502384,,NA,0.869866845,NA,NA,0.71689569,1.022838,Win-Mix
215,461,50.2384,1.502384,1.502384,,NA,0.918385897,NA,NA,0.845104795,0.991667,Win-Lose
216,461,50.261,1.50261,1.50261,,NA,0.869089516,NA,NA,0.826511033,0.911668,Win-Lose
217,477,33.19587629,1.331958763,1.331958763,NA,NA,1.357649443,1.357649443,NA,,NA,Win-Win
220,495,41.40875133,1.414087513,1.414087513,NA,NA,1.403208146,2.261437908,NA,0.974093264,0.974093264,Win-Mix
221,495,13.87406617,1.138740662,1.138740662,NA,NA,1.235452154,1.758169935,NA,0.974093264,0.974093264,Win-Mix
222,496,60.27627734,1.602762773,NA,1.602762773,NA,1.159676952,1.315080400,NA,1.004273504,NA,Win-Win
223,496,-2.520077541,0.974799225,NA,0.974799225,NA,1.317289584,1.485006519,NA,1.14957265,NA,Mix-Win
224,496,50.21686237,1.502168624,NA,1.502168624,NA,1.405186151,1.494132986,NA,1.316239316,NA,Mix-Win
233,506,37.25490196,1.37254902,NA,1.333333333,1.411764706,1.062893082,1.062893082,NA,,NA,Mix-Win
234,506,39.32880845,1.393288084,NA,1.384615385,1.401960784,0.886792453,0.886792453,NA,,NA,Mix-Lose
235,506,72.36048265,1.723604827,NA,1.692307692,1.754901961,1.144654088,1.144654088,NA,,NA,Mix-Win
236,510,-6.6,0.934,NA,0.934,NA,0.966734169,0.966734169,NA,,NA,Lose-Lose
237,510,102.8571429,2.028571429,NA,2.028571429,NA,0.830368038,0.830368038,NA,,NA,Win-Lose
238,510,195.7142857,2.957142857,NA,2.957142857,NA,0.79342052,0.79342052,NA,,NA,Win-Lose
253,539,94,1.94,NA,1.94,NA,0.957265,0.957265,NA,,Negative,Mix-Mix
254,539,416,5.16,NA,5.16,NA,1.034188034,1.034188034,NA,,Negative,Win-Mix
255,539,224,3.24,NA,3.24,NA,0.965811966,0.965811966,NA,,Negative,Win-Mix
256,539,232,3.32,NA,3.32,NA,0.914529915,0.914529915,NA,,Negative,Win-Mix
257,539,330,4.3,NA,4.3,NA,0.897435897,0.897435897,NA,,Negative,Win-Mix
258,540,1.83486,1.0183486,NA,1.0366972,1,0.9597141,0.9597141,NA,,Negative,Mix-Mix
259,540,1.47445,1.0147445,NA,1.029489,1,0.9132554,0.9132554,NA,,Positive,Mix-Mix
260,542,26.69852717,1.266985272,1.43,1.103970543,NA,1.171949419,1.171949419,NA,,NA,Win-Win
266,560,2.14271,1.0214271,NA,1.0214271,NA,1.481695063,1.481695063,NA,,NA,Win-Win
267,563,5.675675676,1.056756757,NA,NA,1.056756757,1.017377567,1.017377567,NA,,NA,Mix-Win
274,567,9.206008584,1.092060086,NA,NA,1.092060086,1.119837386,1.238308652,NA,,1.00136612,Win-Win
275,567,-4.258738449,0.957412616,NA,NA,0.957412616,1.233382409,1.532217573,NA,,0.934547244,Mix-Mix
276,570,30.405555,1.30405555,NA,1.366426,1.2416851,1.071203555,1.263736264,NA,1.0279296,0.9219448,Mix-Mix
277,574,113.9393958,2.139393958,NA,1.116883117,3.1619048,1.235902299,1.235902299,NA,,NA,Win-Win
278,575,22.54114134,1.225411413,NA,1.265536723,1.185286104,1.112036154,1.240481574,NA,,0.983590734,Win-Mix
280,582,85.964065,1.85964065,NA,1.1556586,2.5636227,1.716341788,3.025184165,1.0217391,1.1021021,NA,Win-Mix
281,582,55.079385,1.55079385,NA,1.1384703,1.9631174,1.226536246,1.618830638,1.0217391,1.039039,NA,Win-Mix
282,582,56.276985,1.56276985,NA,1.1094273,2.0161124,1.642868669,2.762192306,1.0643116,1.1021021,NA,Win-Win
283,582,39.814945,1.39814945,NA,1.0700004,1.7262985,1.374290151,2.019519854,1.0643116,1.039039,NA,Win-Win
284,582,118.2644,2.182644,NA,1.08854,3.276748,2.795843872,6.075752117,1.2096774,1.1021021,NA,Win-Win
285,582,60.159855,1.60159855,NA,1.0843932,2.1188039,2.661107588,5.734606363,1.2096774,1.039039,NA,Win-Win
286,583,0,1,NA,NA,1,1.434316354,1.434316354,NA,,NA,Mix-Mix
287,583,50,1.5,NA,NA,1.5,0.514745308,0.514745308,NA,,NA,Mix-Mix
288,583,25,1.25,NA,NA,1.25,1,1,NA,,NA,Mix-Mix
289,583,173.44173,2.7344173,NA,3.4444444,2.0243902,1.82111437,1.82111437,NA,,NA,Mix-Win
290,583,157.65583,2.5765583,NA,3.0555556,2.097561,0.944281525,0.944281525,NA,,NA,Mix-Mix
291,583,0,1,NA,NA,1,2.850241546,2.850241546,NA,,NA,Mix-Win
292,583,50,1.5,NA,NA,1.5,1.618357488,1.618357488,NA,,NA,Mix-Mix
293,583,0,1,NA,NA,1,2.323671498,2.323671498,NA,,NA,Mix-Mix
295,589,21.5474,1.215474,NA,NA,1.215474,1.33843085,1.33843085,NA,Negative ,Negative,Win-Mix
296,589,9.8939,1.098939,NA,NA,1.098939,1.26795213,1.26795213,NA,Negative ,Negative,Win-Mix
298,609,7.757155,1.07757155,NA,1.153497,1.0016461,1.19381839,1.19381839,NA,Negative,Negative,Mix-Mix
299,613,-4.062703406,0.959372966,NA,0.959372966,NA,1.120101645,1.120101645,NA,,NA,Mix-Win
303,618,11.1509,1.111509,NA,1.111509,NA,2.376328502,2.376328502,NA,,NA,Mix-Win
312,631,18.35878,1.1835878,NA,NA,1.1835878,3.177909763,3.177909763,NA,Negative ,Negative,Win-Mix
320,673,17.90585975,1.179058598,NA,1.179058598,NA,1.208431857,1.208431857,NA,,Negative ,Win-Mix
323,682,31.52956009,1.315295601,NA,NA,1.315295601,1.157277333,1.157277333,NA,,Positive,Win-Win
326,708,-13.90217969,0.860978203,NA,NA,0.860978203,1.63583815,1.63583815,NA,,NA,Mix-Win
327,708,-23.67360645,0.763263936,NA,NA,0.763263936,2.779661017,2.779661017,NA,,NA,Mix-Win
329,709,18.34447258,1.183444726,NA,NA,1.183444726,4.513385827,4.513385827,NA,,NA,Mix-Win
338,726,15.20934207,1.152093421,NA,1.152093421,NA,1.072606275,1.048170587,1.097041963,,NA,Mix-Win
339,726,13.39599354,1.133959935,NA,1.133959935,NA,1.103791362,1.074367088,1.133215636,,NA,Mix-Win
341,731,31.35830665,1.313583067,NA,NA,1.313583067,1.448672739,1.448672739,NA,,NA,Win-Win
343,733,33.54807707,1.335480771,NA,1.00427151,1.666690032,1.571970069,1.571970069,NA,,NA,Win-Win
344,737,116.5503723,2.165503723,NA,2.165503723,NA,5.049511871,5.049511871,NA,,NA,Win-Win
345,737,115.8328184,2.158328184,NA,2.158328184,NA,5.199235581,5.199235581,NA,,NA,Win-Win
346,738,110.5302156,2.105302156,NA,,2.105302156,1.002472757,1.063841219,0.941104294,,NA,Win-Mix
348,742,11.4398148,1.114398148,NA,1.241269841,0.987526455,1.260138287,1.371451509,1.148825065,,NA,Win-Win
349,742,10.87278845,1.108727884,NA,1.231746032,0.985709737,1.517474272,1.750353243,1.2845953,,NA,Win-Win
350,742,25.18472043,1.251847204,NA,1.511111111,0.992583297,1.21808094,1.3500,1.08616188,,NA,Win-Win
374,772,55.41523193,1.554152319,NA,NA,1.554152319,3.382765531,3.382765531,NA,,NA,Win-Win
375,776,22.091688,1.22091688,NA,NA,1.22091688,1.231012395,1.231012395,NA,,NA,Win-Win
376,776,1.0322337,1.010322337,NA,NA,1.010322337,1.353598981,1.353598981,NA,,NA,Win-Win
377,778,6.250979118,1.062509791,NA,1.046632124,1.078387458,1.141935484,1.141935484,NA,,NA,Win-Win
379,779,5.096831878,1.050968319,NA,1.050968319,NA,0.899469278,0.850551459,0.948387097,,NA,Mix-Mix
380,779,3.488924704,1.034889247,NA,1.034889247,NA,0.870763537,0.806043203,0.935483871,,NA,Mix-Mix
381,782,33.32984841,1.333298484,NA,1.333298484,NA,1.028379169,1.24600467,1.036253776,,0.802879061,Win-Mix
382,782,53.10245687,1.531024569,NA,1.531024569,NA,1.046946927,1.147166566,1.069486405,,0.924187809,Win-Mix
383,782,66.66231051,1.666623105,NA,1.666623105,NA,1.038101887,1.113875645,1.058912387,,0.94151763,Win-Mix
384,783,16.66666667,1.166666667,NA,1.166666667,NA,1.331769464,1.668202555,0.995336373,,NA,Win-Mix
385,783,19.49404762,1.194940476,NA,1.194940476,NA,1.909111725,3.031706204,0.786517245,,NA,Win-Mix
386,783,30,1.3,NA,1.300000,NA,1.148931073,1.322730924,0.975131222,,NA,Win-Mix
387,783,33.39285714,1.333928571,NA,1.333928571,NA,1.520542623,2.283148594,0.757936652,,NA,Win-Mix
388,784,6.780675995,1.06780676,1.052380952,1.083232568,NA,0.890621246,0.740289678,1.040952814,,NA,Mix-Mix
