uniqueID,IDALL,Prov_services_average_percent_transf,Prov_services_average,Impact of intensification on the availability of: Food [ratio of treatment/control: intercrop/rotation:solecrop],Impact of intensification on the availability of: Freshwater/drinking water,Impact of intensification on the availability of: Fiber,Impact of intensification on the availability of: Biochemicals,Impact of intensification on: Genetic Resources/ diversity,Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
1,1,15,1.15,1.15,NA,NA,NA,NA,2.03,2.03,NA,Positive,NA,NA,,Win-Win
2,1,1,1.01,1.01,NA,NA,NA,NA,1.93,1.93,NA,Positive,NA,NA,,Win-Win
3,2,4.9671,1.049671,1.049671,NA,NA,NA,NA,1.75,1.75,NA,NA,NA,NA,,Win-Win
4,2,10.952641,1.10952641,1.10952641,NA,NA,NA,NA,1.78,1.78,NA,NA,NA,NA,,Win-Win
9,12,16.59,1.1659,1.1659,NA,NA,NA,NA,1.148,1.148,NA,Positive,NA,NA,,Win-Win
11,16,112.261429,2.12261429,2.12261429,NA,NA,NA,NA,1.2356,NA,1.2356,Positive,NA,NA,,Win-Win
13,19,6.018519,1.06018519,1.06018519,NA,NA,NA,NA,1.1875,1.1875,NA,NA,NA,NA,,Win-Win
27,56,89.49825,1.8949825,1.8949825,NA,NA,NA,NA,1.4726776,Positive,NA,NA,NA,NA,1.4726776,Mix-Win
29,61,22.222222,1.22222222,1.22222222,NA,NA,NA,NA,1.20132655,1.27,1.1326531,NA,NA,NA,,Win-Win
30,64,-1.025,0.98975,0.98975,NA,NA,NA,NA,1.05,1.05,NA,NA,NA,NA,,Mix-Mix
31,64,15.37,1.1537,1.1537,NA,NA,NA,NA,1.225,1.225,NA,NA,NA,NA,,Win-Win
32,64,7.27,1.0727,1.0727,NA,NA,NA,NA,1.375,1.375,NA,NA,NA,NA,,Mix-Win
36,74,57.4,1.574,1.574,NA,NA,NA,NA,1.21,1.21,NA,Positive ,NA,NA,,Win-Win
38,97,21.022727,1.21022727,1.21022727,NA,NA,NA,NA,1.58,1.58,NA,NA,NA,NA,,Win-Win
39,97,25.568182,1.25568182,1.25568182,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,,Win-Win
40,97,30.487805,1.30487805,1.30487805,NA,NA,NA,NA,1.36,1.36,NA,NA,NA,NA,,Win-Win
41,97,16,1.16,1.16,NA,NA,NA,NA,1.31,1.31,NA,NA,NA,NA,,Win-Win
42,99,41.898527,1.41898527,1.41898527,NA,NA,NA,NA,1.037741,1.037741,NA,NA,NA,NA,,Win-Mix
43,99,8.919804,1.08919804,1.08919804,NA,NA,NA,NA,1.2830579,1.2830579,NA,NA,NA,NA,,Mix-Mix
47,105,29.221689,1.29221689,1.29221689,NA,NA,NA,NA,1.2742616,1.2742616,NA,NA,NA,NA,,Mix-Mix
48,105,38.057723,1.38057723,1.38057723,NA,NA,NA,NA,1.3769339,1.3769339,NA,NA,NA,NA,,Mix-Mix
49,106,36.995358,1.36995358,1.68656716,1.05334,NA,NA,NA,1.7145811,1.7621622,NA,NA,NA,NA,1.667,Win-Mix
50,106,47.6580225,1.476580225,1.91791045,1.03525,NA,NA,NA,1.8256757,1.7513514,NA,NA,NA,NA,1.9,Win-Mix
51,106,42.8466045,1.428466045,1.78358209,1.07335,NA,NA,NA,1.8110946,1.8891892,NA,NA,NA,NA,1.733,Win-Mix
52,107,329.954955,4.29954955,4.29954955,NA,NA,NA,NA,2.00501285,1.8100257,NA,NA,NA,NA,2.2,Win-Mix
53,107,179.504505,2.79504505,2.79504505,NA,NA,NA,NA,1.9451157,1.6902314,NA,NA,NA,NA,2.2,Mix-Mix
54,118,58.5,1.585,1.585,NA,NA,NA,NA,1.7116667,1.7116667,NA,NA,NA,NA,,Win-Win
66,176,9.67,1.0967,1.0967,NA,NA,NA,NA,1.505,1.505,NA,NA,NA,NA,,Mix-Mix
73,198,3.238,1.03238,1.03238,NA,NA,NA,NA,1.28,1.28,NA,NA,NA,NA,,Win-Win
74,198,0.097,1.00097,1.00097,NA,NA,NA,NA,1.255,1.255,NA,NA,NA,NA,,Win-Mix
83,214,19.721386,1.19721386,1.19721386,NA,NA,NA,NA,1.2733333,1.2733333,NA,NA,NA,NA,,Win-Win
85,220,34.505588,1.34505588,1.34505588,NA,NA,NA,NA,1.59,1.59,NA,Positive,NA,NA,,Win-Mix
86,220,7.472494,1.07472494,1.07472494,NA,NA,NA,NA,1.4,1.4,NA,Positive,NA,NA,,Win-Mix
89,251,-8.585858586,0.914141414,0.914141414,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,Neutral,Mix-Mix
90,251,-15.65656566,0.843434343,0.843434343,NA,NA,NA,NA,1.45,1.45,NA,NA,NA,NA,Neutral,Mix-Mix
91,251,-15.15151515,0.848484848,0.848484848,NA,NA,NA,NA,1.59,1.59,NA,NA,NA,NA,Neutral,Mix-Mix
92,251,-15.65656566,0.843434343,0.843434343,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
93,251,13.33333333,1.133333333,1.133333333,NA,NA,NA,NA,1.38,1.38,NA,NA,NA,NA,Neutral,Win-Mix
94,251,9.166666667,1.091666667,1.091666667,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
95,251,-4.166666667,0.958333333,0.958333333,NA,NA,NA,NA,1.39,1.39,NA,NA,NA,NA,Neutral,Mix-Mix
96,251,1.666666667,1.016666667,1.016666667,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,Neutral,Win-Mix
97,251,22,1.22,1.22,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,Neutral,Win-Mix
98,251,5.333333333,1.053333333,1.053333333,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
99,251,0,1,1,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
100,251,6.666666667,1.066666667,1.066666667,NA,NA,NA,NA,1.56,1.56,NA,NA,NA,NA,Neutral,Win-Mix
101,258,20.427,1.20427,1.20427,NA,NA,NA,NA,1.2039,1.2039,NA,NA,NA,NA,,Win-Win
110,282,-8.72093,0.9127907,0.9127907,NA,NA,NA,NA,1.33,1.33,NA,NA,NA,NA,,Mix-Mix
111,282,8.67052,1.0867052,1.0867052,NA,NA,NA,NA,1.26,1.26,NA,NA,NA,NA,,Win-Mix
112,282,-10.365854,0.89634146,0.89634146,NA,NA,NA,NA,1.35,1.35,NA,NA,NA,NA,,Mix-Mix
113,282,12.631579,1.12631579,1.12631579,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,,Win-Mix
114,282,24.444444,1.24444444,1.24444444,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Mix
115,282,4.938272,1.04938272,1.04938272,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Mix
126,309,489.4736842,5.894736842,5.894736842,NA,NA,NA,NA,1.655508404,1.783105023,1.527911785,Positive,NA,NA,,Win-Mix
128,320,23.2107438,1.232107438,1.232107438,NA,NA,NA,NA,1.026363636,1.026363636,NA,NA,NA,NA,,Win-Mix
129,321,42.72,1.4272,1.4272,NA,NA,NA,NA,2.116625,2.116625,NA,Positive,NA,NA,,Win-Win
136,338,89.73059075,1.897305907,1.897305907,NA,NA,NA,NA,1.155,1.155,NA,NA,NA,NA,,Win-Win
137,348,5.098435134,1.050984351,1.050984351,NA,NA,NA,NA,1.352941176,Positive,1.352941176,Positive,NA,NA,,Win-Win
138,348,7.218576477,1.072185765,1.072185765,NA,NA,NA,NA,1.529411765,Positive,1.529411765,Positive,NA,NA,,Win-Win
139,356,8.748317631,1.087483176,1.087483176,NA,NA,NA,NA,1.23,NA,1.23,NA,NA,NA,,Win-Mix
140,356,30.68640646,1.306864065,1.306864065,NA,NA,NA,NA,1.19,NA,1.19,NA,NA,NA,,Win-Mix
142,366,78.821363,1.78821363,1.78821363,NA,NA,NA,NA,2.8076923,NA,NA,NA,NA,NA,2.8076923,Mix-Mix
143,366,65.19337,1.6519337,1.6519337,NA,NA,NA,NA,2.2115385,NA,NA,NA,NA,NA,2.2115385,Mix-Mix
144,367,22.146239,1.22146239,1.22146239,NA,NA,NA,NA,1.495,1.495,NA,NA,NA,NA,,Mix-Win
145,367,17.34072,1.1734072,1.1734072,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Mix-Win
146,367,28.172255,1.28172255,1.28172255,NA,NA,NA,NA,1.38,1.38,NA,NA,NA,NA,,Mix-Win
149,388,23.24204293,1.232420429,1.232420429,NA,NA,NA,NA,1.250038023,1.250038023,NA,NA,NA,NA,,Win-Mix
150,388,14.28571429,1.142857143,1.142857143,NA,NA,NA,NA,1.2,1.2,NA,NA,NA,NA,,Mix-Mix
152,396,-12.825705,0.87174295,0.87174295,NA,NA,NA,NA,1.22,1.22,NA,NA,NA,NA,,Lose-Mix
153,396,-16.106386,0.83893614,0.83893614,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Lose-Mix
154,396,-2.992665,0.97007335,0.97007335,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Lose-Win
155,404,11.624326,1.11624326,1.11624326,NA,NA,NA,NA,1.22,1.22,NA,Positive,NA,NA,,Win-Win
160,409,128.406936,2.28406936,2.28406936,NA,NA,NA,NA,1.305,1.305,Positive,NA,NA,NA,,Win-Win
164,412,16,1.16,1.16,NA,NA,NA,NA,0.9358,0.9358,NA,NA,NA,NA,,Win-Mix
165,413,4.836783,1.04836783,1.04836783,NA,NA,NA,NA,0.9729886,0.9729886,NA,NA,NA,NA,,Win-Mix
166,418,97.96980739,1.979698074,1.979698074,NA,NA,NA,NA,1.177966102,NA,1.177966102,NA,NA,NA,,Win-Win
167,418,51.86388244,1.518638824,1.518638824,NA,NA,NA,NA,1.177966102,NA,1.177966102,NA,NA,NA,,Mix-Mix
168,418,57.28433099,1.57284331,1.57284331,NA,NA,NA,NA,1.072289157,NA,1.072289157,NA,NA,NA,,Win-Win
169,421,37.05419,1.3705419,1.3705419,NA,NA,NA,NA,0.945,0.945,NA,NA,NA,NA,,Win-Mix
171,421,4.201681,1.04201681,1.04201681,NA,NA,NA,NA,1.025,1.025,NA,NA,NA,NA,,Win-Mix
173,421,13.392541,1.13392541,1.13392541,NA,NA,NA,NA,1.165,1.165,NA,NA,NA,NA,,Win-Win
180,428,20,1.2,1.2,NA,NA,NA,NA,1.889946,NA,NA,1.889946,NA,NA,,Win-Mix
181,428,35.714286,1.35714286,1.35714286,NA,NA,NA,NA,1.5800778,NA,NA,1.5800778,NA,NA,,Win-Mix
217,477,44.9240551,1.449240551,1.44924055,NA,NA,NA,NA,1.266666667,NA,NA,NA,NA,NA,1.266666667,Win-Win
228,505,-3.307529909,0.966924701,0.966924701,NA,NA,NA,NA,1.165,1.165,NA,NA,NA,NA,,Lose-Win
229,505,26.5306122,1.265306122,1.265306122,NA,NA,NA,NA,1.415,1.415,NA,NA,NA,NA,,Win-Win
230,505,27.79732583,1.277973258,1.277973258,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Win
231,505,25.12315271,1.251231527,1.251231527,NA,NA,NA,NA,1.505,1.505,NA,NA,NA,NA,,Win-Win
232,505,3.870513723,1.038705137,1.038705137,NA,NA,NA,NA,1.155,1.155,NA,NA,NA,NA,,Win-Win
239,514,3.344482,1.03344482,1.03344482,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,,Win-Mix
240,514,33.645833,1.33645833,1.33645833,NA,NA,NA,NA,1.925,1.925,NA,Positive,NA,NA,,Win-Win
241,521,37.668902,1.37668902,1.37668902,NA,NA,NA,NA,1.9441667,1.9441667,NA,NA,NA,NA,,Win-Win
242,521,71.3,1.713,1.713,NA,NA,NA,NA,2.0016667,2.0016667,NA,NA,NA,NA,,Win-Win
243,525,-1.111111111,0.988888889,0.988888889,NA,NA,NA,NA,1.242902208,NA,NA,1.242902208,NA,NA,,Lose-Win
244,528,9.398496,1.09398496,1.09398496,NA,NA,NA,NA,1.21,1.21,,NA,NA,NA,,Win-Win
245,528,2.030075,1.02030075,1.02030075,NA,NA,NA,NA,1.15,1.15,,NA,NA,NA,,Win-Mix
246,528,35.413534,1.35413534,1.35413534,NA,NA,NA,NA,1.245,1.245,,NA,NA,NA,,Win-Win
247,529,79.481638,1.79481638,1.79481638,NA,NA,NA,NA,1.6866667,1.6866667,NA,NA,NA,NA,,Win-Win
248,529,72.745847,1.72745847,1.72745847,NA,NA,NA,NA,1.6866667,1.6866667,NA,NA,NA,NA,,Win-Win
249,529,51.869078,1.51869078,1.51869078,NA,NA,NA,NA,1.2833333,1.2833333,NA,NA,NA,NA,,Win-Win
250,530,46.98382,1.4698382,1.4698382,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Win
251,530,41.27647,1.4127647,1.4127647,NA,NA,NA,NA,1.45,1.45,NA,NA,NA,NA,,Win-Win
252,530,115.94388,2.1594388,2.1594388,NA,NA,NA,NA,1.49,1.49,NA,NA,NA,NA,,Win-Win
253,539,8.2495294,1.082495294,1.082495294,NA,NA,NA,NA,1.23,1.23,NA,NA,NA,NA,,Mix-Mix
254,539,22.99257368,1.229925737,1.229925737,NA,NA,NA,NA,1.23,1.23,NA,NA,NA,NA,,Win-Mix
255,539,9.184265491,1.091842655,1.091842655,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Win-Mix
256,539,15.62105155,1.156210515,1.156210515,NA,NA,NA,NA,1.08,1.08,NA,NA,NA,NA,,Win-Mix
257,539,7.541708569,1.075417086,1.075417086,NA,NA,NA,NA,1.06,1.06,NA,NA,NA,NA,,Win-Mix
258,540,-1.364176,0.98635824,0.98635824,NA,NA,NA,NA,1.02239805,1.0066667,1.0381294,NA,NA,NA,,Mix-Mix
259,540,-5.560498,0.94439502,0.94439502,NA,NA,NA,NA,1.018616,1,1.037232,NA,NA,NA,,Mix-Mix
261,546,25.92927,1.2592927,1.6237854,NA,NA,0.8948,NA,1.31,1.31,NA,NA,NA,NA,,Mix-Win
262,546,12.33113,1.1233113,1.3704226,NA,NA,0.8762,NA,1.165,1.165,NA,NA,NA,NA,,Mix-Win
263,546,6.781655,1.06781655,1.3026331,NA,NA,0.833,NA,1.06,1.06,NA,NA,NA,NA,,Mix-Win
264,546,4.00127,1.0400127,1.3273254,NA,NA,0.7527,NA,1.105,1.105,NA,NA,NA,NA,,Mix-Win
266,560,26.29045,1.2629045,1.2629045,NA,NA,NA,NA,1.9,1.9,NA,NA,NA,NA,,Win-Win
267,563,-10.32571033,0.896742897,0.896742897,NA,NA,NA,NA,1.073333333,1.073333333,NA,NA,NA,NA,,Mix-Win
268,564,-17.892504,0.82107496,0.82107496,NA,NA,NA,NA,0.9625,0.9625,NA,NA,NA,NA,,Lose-Mix
269,564,-1.647768,0.98352232,0.98352232,NA,NA,NA,NA,1,1,NA,NA,NA,NA,,Lose-Mix
270,564,6.546415,1.06546415,1.06546415,NA,NA,NA,NA,1.5587045,1.5587045,NA,NA,NA,NA,,Win-Win
271,564,22.393,1.22393,1.22393,NA,NA,NA,NA,2.605915926,2.605915926,NA,NA,NA,NA,,Win-Win
272,564,279.435364,3.79435364,3.79435364,NA,NA,NA,NA,2.3833927,2.3833927,Positive,Positive,Positive,Positive,,Win-Win
273,564,181.400084,2.81400084,2.81400084,NA,NA,NA,NA,1.8876078,1.8876078,Positive,Positive,Positive,Positive,,Win-Win
274,567,15.59917355,1.155991736,1.155991736,NA,NA,NA,NA,1.079145729,1.079145729,NA,NA,NA,NA,,Win-Win
275,567,36.25730994,1.362573099,1.362573099,NA,NA,NA,NA,0.995,0.995,NA,NA,NA,NA,,Mix-Mix
278,575,18.3908046,1.183908046,1.183908046,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Win-Mix
280,582,199.312147,2.99312147,2.99312147,NA,NA,NA,NA,1.0659115,NA,NA,1.6392857,0.4925373,NA,,Win-Mix
281,582,55.517902,1.55517902,1.55517902,NA,NA,NA,NA,1.2851812,NA,NA,1.9285714,0.641791,NA,,Win-Mix
282,582,173.558914,2.73558914,2.73558914,NA,NA,NA,NA,3.1714015,NA,NA,4.3125,2.030303,NA,,Win-Win
283,582,82.935376,1.82935376,1.82935376,NA,NA,NA,NA,3.10132575,NA,NA,4.6875,1.5151515,NA,,Win-Win
284,582,434.979461,5.34979461,5.34979461,NA,NA,NA,NA,4,NA,NA,Positive,4,NA,,Win-Win
285,582,323.51908,4.2351908,4.2351908,NA,NA,NA,NA,2.5,NA,NA,Positive,2.5,NA,,Win-Win
286,583,-25.491541,0.74508459,0.74508459,NA,NA,NA,NA,0.9892857,NA,1.3,0.6785714,NA,NA,,Mix-Mix
287,583,-14.837677,0.85162323,0.85162323,NA,NA,NA,NA,0.76785715,NA,1,0.5357143,NA,NA,,Mix-Mix
288,583,-3.6123,0.963877,0.963877,NA,NA,NA,NA,1.4392857,NA,1.7,1.1785714,NA,NA,,Mix-Mix
289,583,-10.620347,0.89379653,0.89379653,NA,NA,NA,NA,1.44166665,NA,1.55,1.3333333,NA,NA,,Mix-Win
290,583,-15.980149,0.84019851,0.84019851,NA,NA,NA,NA,1.0277778,NA,1,1.0555556,NA,NA,,Mix-Mix
291,583,10.245265,1.10245265,1.10245265,NA,NA,NA,NA,1.4292453,NA,1.5,1.3584906,NA,NA,,Mix-Win
292,583,4.004967,1.04004967,1.04004967,NA,NA,NA,NA,1.1061321,NA,1.25,0.9622642,NA,NA,,Mix-Mix
293,583,-6.8302,0.931698,0.931698,NA,NA,NA,NA,1.15,NA,1.3,1,NA,NA,,Mix-Mix
297,599,40.6928214,1.406928214,1.406928214,NA,NA,NA,NA,1.3825,1.3825,NA,NA,NA,NA,,Win-Mix
298,609,-3.044872,0.96955128,0.96955128,NA,NA,NA,NA,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
299,613,11.27819549,1.112781955,1.112781955,NA,NA,NA,NA,1.033457249,1.033457249,NA,NA,NA,NA,,Mix-Win
303,618,16.259274,1.16259274,1.16259274,NA,NA,NA,NA,1.0991167,1.1608008,1.0374326,NA,NA,NA,,Mix-Win
310,626,2.849958089,1.028499581,1.028499581,NA,NA,NA,NA,1.043253341,1.043253341,NA,NA,NA,NA,,Win-Win
311,626,27.91282481,1.279128248,1.279128248,NA,NA,NA,NA,1.385831298,1.385831298,NA,NA,NA,NA,,Win-Win
312,631,13.89157,1.1389157,1.1389157,NA,NA,NA,NA,1.4975,1.4975,NA,NA,NA,NA,,Win-Mix
314,647,-27.027483,0.72972517,0.72972517,NA,NA,NA,NA,1.143333333,1.143333333,Positive,Positive,NA,NA,,Mix-Win
315,647,-30.489355,0.69510645,0.69510645,NA,NA,NA,NA,1.465459664,1.25,1.680919328,Positive,NA,NA,,Mix-Win
316,666,3.066717,1.03066717,1.03066717,NA,NA,NA,NA,1.62,1.62,NA,Positive,NA,NA,,Mix-Win
317,668,25.403226,1.25403226,1.25403226,NA,NA,NA,NA,1.481111,1.481111,NA,NA,NA,NA,,Win-Mix
320,673,12.44171779,1.124417178,1.124417178,NA,NA,NA,NA,1.066666667,NA,1.066666667,NA,NA,NA,,Win-Mix
323,682,32.21927106,1.322192711,1.322192711,NA,NA,NA,NA,1.454545455,1.454545455,NA,NA,NA,NA,,Win-Win
324,699,70,1.7,1.7,NA,NA,NA,NA,1.633333333,1.633333333,NA,NA,NA,NA,,Win-Win
334,711,61.86813187,1.618681319,1.618681319,NA,NA,NA,NA,1.1,NA,1.10000,NA,NA,NA,,Win-Mix
340,727,-6.315396114,0.936846039,0.936846039,NA,NA,NA,NA,1.5075,1.5075,NA,NA,NA,NA,,Lose-Win
341,731,19.70066133,1.197006613,1.197006613,NA,NA,NA,NA,1.39,1.39,NA,NA,NA,NA,,Win-Win
348,742,34.3625498,1.343625498,1.343625498,NA,NA,NA,NA,1.443684211,1.66,1.227368421,NA,NA,NA,,Win-Win
349,742,68.1938911,1.681938911,1.681938911,NA,NA,NA,NA,1.4775,1.695,1.26,NA,NA,NA,,Win-Win
350,742,34.78308986,1.347830899,1.347830899,NA,NA,NA,NA,1.6975,1.695,1.70,NA,NA,NA,,Win-Win
351,744,39.79,1.3979,1.3979,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Win-Mix
352,744,51.07,1.5107,1.5107,NA,NA,NA,NA,1.68,1.68,NA,NA,NA,NA,,Win-Mix
353,744,42.45,1.4245,1.4245,NA,NA,NA,NA,1.59,1.59,NA,NA,NA,NA,,Win-Mix
354,744,41.78,1.4178,1.4178,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,,Win-Mix
355,744,38.97,1.3897,1.3897,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Win-Mix
358,757,18.67308163,1.186730816,1.186730816,NA,NA,NA,NA,3.341666667,3.341666667,NA,NA,NA,NA,,Win-Win
360,762,-1.740056818,0.982599432,0.982599432,NA,NA,NA,NA,1.509463087,1.58,1.438926174,NA,NA,NA,,Lose-Win
361,762,46.25,1.4625,1.4625,NA,NA,NA,NA,1.189561404,0.93,1.449122807,NA,NA,NA,,Win-Mix
362,765,124.2554741,2.242554741,2.242554741,NA,NA,NA,NA,2.4075,2.4075,NA,NA,NA,NA,,Win-Mix
363,766,-6.352768445,0.936472316,0.936472316,NA,NA,NA,NA,1.13,1.13,NA,NA,NA,NA,,Lose-Win
364,767,-19.84375,0.8015625,0.80156250000000000,,NA,NA,NA,1.0425,1.0425,NA,NA,NA,NA,,Lose-Win
365,767,28.70639535,1.287063953,1.28706395348837000,,NA,NA,NA,0.8345,0.8345,NA,NA,NA,NA,,Win-Lose
366,768,-19.84375,0.8015625,0.80156250000000000,,NA,NA,NA,1.0425,1.0425,NA,NA,NA,NA,,Lose-Mix
367,768,28.70639535,1.287063953,1.28706395348837000,,NA,NA,NA,0.8345,0.8345,NA,NA,NA,NA,,Win-Lose
368,770,74.48918339,1.744891834,1.744891834,,NA,NA,NA,1.022890192,NA,1.022890192,NA,NA,NA,,Win-Win
369,770,5.383038204,1.053830382,1.053830382,,NA,NA,NA,1.035081575,NA,1.035081575,NA,NA,NA,,Win-Win
370,770,20.11622024,1.201162202,1.201162202,,NA,NA,NA,1.309981685,NA,1.309981685,NA,NA,NA,,Win-Win
371,770,20.51064841,1.205106484,1.205106484,,NA,NA,NA,1.278388278,NA,1.278388278,NA,NA,NA,,Win-Win
375,776,10.3073646,1.103073646,1.103073646,NA,NA,NA,NA,1.533333333,1.533333333,NA,NA,NA,NA,,Win-Win
376,776,22.8667072,1.228667072,1.228667072,NA,NA,NA,NA,1.061666667,1.061666667,NA,NA,NA,NA,,Win-Win
377,778,3.47826087,1.034782609,1.034782609,NA,NA,NA,NA,1.030398323,NA,1.030398323,NA,NA,NA,,Win-Win
378,778,0.579710145,1.005797101,1.005797101,NA,NA,NA,NA,1.031446541,NA,1.031446541,NA,NA,NA,,Mix-Win
379,779,7.337151038,1.07337151,1.07337151,NA,NA,NA,NA,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
380,779,5.941302792,1.059413028,1.059413028,NA,NA,NA,NA,1.13,1.13,NA,NA,NA,NA,,Mix-Mix
388,784,-36.61209813,0.633879019,0.633879019,NA,NA,NA,NA,1.031666667,1.031666667,NA,NA,NA,NA,,Mix-Mix
389,785,15.90540541,1.159054054,1.159054054,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Win-Win
